participant_id,fold,stratum,split_engine
X21.f6d85e3299dec9fffb8485e51c0c7326,2,"set1,set2_Talker-specific_4",StratifiedKFold
X21.2d25f106d7da35f39b9e980cf1ea109e,2,"set1,set2_Control_5",StratifiedKFold
X21.e4a66d729a112d865f87377e9621633f,2,"set1,set2_Talker-specific_3",StratifiedKFold
X21.7ff6ced3efa569ff8808314fa57f1f56,2,"set1,set2_Single talker_5",StratifiedKFold
X21.ddeb3bc677d7b6984d055287f2599c5d,3,"set1,set2_Talker-specific_3",StratifiedKFold
X21.c910284dbbfdb43a3b9ceb6ce9c28740,2,"set1,set2_Single talker_3",StratifiedKFold
X21.13b51fcece705a5459fad5ce1001278e,2,"set1,set2_Talker-specific_6",StratifiedKFold
X21.fa443bbb5dc57c7af9602f56f3a62b42,2,"set1,set2_Talker-specific_3",StratifiedKFold
X21.49c567f1012440aa7cffda3f831f0cd2,1,"set1,set2_Talker-specific_6",StratifiedKFold
X21.020c76efcc87293cc9ea6fc85be93243,1,"set1,set2_Talker-specific_4",StratifiedKFold
X21.8e14befbeffb3248062e95aefa00982b,2,"set1,set2_Control_5",StratifiedKFold
X21.72f4ac5dc753c1771310135ed3240636,1,"set1,set2_Control_6",StratifiedKFold
X21.dfe30a492ce03ada11efb9a590a7474c,2,"set1,set2_Multi-talker_5",StratifiedKFold
X21.15230c4eb9414dbfbac8312a3adf89de,1,"set1,set2_Control_5",StratifiedKFold
X21.3855a6b955e21fcbe2d54bdc83922465,1,"set1,set2_Control_5",StratifiedKFold
X21.7278c5967afab1d2842d5d17f637749d,3,"set1,set2_Multi-talker_5",StratifiedKFold
X21.111b51bdc9d63d17e5b03e16b763ad03,3,"set1,set2_Talker-specific_4",StratifiedKFold
X21.b32e32b80fb4ea372bfb8799f2e0a4a4,2,"set1,set2_Control_3",StratifiedKFold
X21.02df8d3b08a6de375b962ede739a0992,1,"set1,set2_Single talker_3",StratifiedKFold
X21.eba64d8a4b58cd4ff87372207788c1a2,3,"set1,set2_Multi-talker_6",StratifiedKFold
X21.297e8ab96c4a7360619e74b2123d2abb,3,"set1,set2_Talker-specific_5",StratifiedKFold
X21.0efe000242abdb021414d560bcd78139,1,"set1,set2_Single talker_5",StratifiedKFold
X21.77e6b2cada9de1f65a3eb366b77ca8db,3,"set1,set2_Talker-specific_6",StratifiedKFold
X21.8599117350c9a8318126b6bb49dfd028,1,"set1,set2_Control_6",StratifiedKFold
X21.8fe34053b5ea79bed45a9e5c7381a793,3,"set1,set2_Multi-talker_6",StratifiedKFold
X21.f0be26ecb356e4b74c9747786e652b4c,2,"set1,set2_Multi-talker_6",StratifiedKFold
X21.218c8a40e8c364b04e8ff4e92a60dbbb,3,"set1,set2_Single talker_4",StratifiedKFold
X21.9530bdd4c804067f6f58f01c18d371a3,1,"set1,set2_Multi-talker_6",StratifiedKFold
X21.75d647002538ea6deffca8b210f7eb0e,2,"set1,set2_Multi-talker_4",StratifiedKFold
X21.66000974dab792389c71ffd9005a1942,2,"set1,set2_Single talker_4",StratifiedKFold
X21.f25c36abef4b7f76180dba700c848a15,1,"set1,set2_Single talker_5",StratifiedKFold
X21.0c40b427abdd31098f4c65d9a011cd29,1,"set1,set2_Control_5",StratifiedKFold
X21.0c8105aca604f0d20d6cbf8ad6895fdd,2,"set1,set2_Multi-talker_4",StratifiedKFold
X21.c6c39b3bd7250e513b274ea286f9dee3,1,"set1,set2_Multi-talker_3",StratifiedKFold
X21.16f803983cd4c44a9dac51d6ffbb01cb,3,"set1,set2_Control_5",StratifiedKFold
X21.a1e111e94be1abd2daec335b01d2c353,1,"set1,set2_Talker-specific_3",StratifiedKFold
X21.f2eb8e1cf1a2af606da2bed8881866f9,1,"set1,set2_Control_3",StratifiedKFold
X21.d7b39b3c27c19e4742c003bb0e54d961,2,"set1,set2_Multi-talker_4",StratifiedKFold
X21.03e3d42c290f0dddfc6dec03d147b746,2,"set1,set2_Single talker_5",StratifiedKFold
X21.1a92fbb6fbd90440fc98201479c51aa1,2,"set1,set2_Multi-talker_3",StratifiedKFold
X21.06141bb127d7fc26711ea295e96a20f2,3,"set1,set2_Single talker_3",StratifiedKFold
X21.bc4f48b4671f3f87238b85af458093d1,2,"set1,set2_Control_5",StratifiedKFold
X21.17e0ed85069ed23b19653508b30a52aa,3,"set1,set2_Single talker_5",StratifiedKFold
X21.b985a11f9fc4599fcbb58cc157631cb0,3,"set1,set2_Multi-talker_5",StratifiedKFold
X21.d81897e03b15544ec6bfc14f1115cf8d,3,"set1,set2_Multi-talker_4",StratifiedKFold
